70	とうもろこし	/data/img_food/とうもろこし.jpg	/data/sound_food/とうもろこし.mp3
71	とまと	/data/img_food/とまと.jpg	/data/sound_food/とまと.mp3
72	なし	/data/img_food/なし.jpg	/data/sound_food/なし.mp3
73	なす	/data/img_food/なす.jpg	/data/sound_food/なす.mp3
74	にんじん	/data/img_food/にんじん.jpg	/data/sound_food/にんじん.mp3
75	にんにく	/data/img_food/にんにく.jpg	/data/sound_food/にんにく.mp3
76	ねぎ	/data/img_food/ねぎ.jpg	/data/sound_food/ねぎ.mp3
77	はくさい	/data/img_food/はくさい.jpg	/data/sound_food/はくさい.mp3
78	バナナ	/data/img_food/バナナ.jpg	/data/sound_food/バナナ.mp3
79	パイナップル	/data/img_food/パイナップル.jpg	/data/sound_food/パイナップル.mp3
80	パセリ	/data/img_food/パセリ.jpg	/data/sound_food/パセリ.mp3
81	パパイア	/data/img_food/パパイア.jpg	/data/sound_food/パパイア.mp3
82	ピーマン	/data/img_food/ピーマン.jpg	/data/sound_food/ピーマン.mp3
83	ぶどう	/data/img_food/ぶどう.jpg	/data/sound_food/ぶどう.mp3
84	ブロッコリー	/data/img_food/ブロッコリー.jpg	/data/sound_food/ブロッコリー.mp3
85	ほうれんそう	/data/img_food/ほうれんそう.jpg	/data/sound_food/ほうれんそう.mp3
86	ほんしめじ	/data/img_food/ほんしめじ.jpg	/data/sound_food/ほんしめじ.mp3
87	マッシュルーム	/data/img_food/マッシュルーム.jpg	/data/sound_food/マッシュルーム.mp3
88	まつたけ	/data/img_food/まつたけ.jpg	/data/sound_food/まつたけ.mp3
89	マンゴー	/data/img_food/マンゴー.jpg	/data/sound_food/マンゴー.mp3
90	みかん	/data/img_food/みかん.jpg	/data/sound_food/みかん.mp3
91	メロン	/data/img_food/メロン.jpg	/data/sound_food/メロン.mp3
92	もも	/data/img_food/もも.jpg	/data/sound_food/もも.mp3
93	ようなし	/data/img_food/ようなし.jpg	/data/sound_food/ようなし.mp3
94	らっきょう	/data/img_food/らっきょう.jpg	/data/sound_food/らっきょう.mp3
95	ラディッシュ	/data/img_food/ラディッシュ.jpg	/data/sound_food/ラディッシュ.mp3
96	りんご	/data/img_food/りんご.jpg	/data/sound_food/りんご.mp3
97	レタス・サラダな	/data/img_food/レタス・サラダな.jpg	/data/sound_food/レタス・サラダな.mp3
98	レモン	/data/img_food/レモン.jpg	/data/sound_food/レモン.mp3
99	れんこん	/data/img_food/れんこん.jpg	/data/sound_food/れんこん.mp3
100	わさび	/data/img_food/わさび.jpg	/data/sound_food/わさび.mp3
101	カエル	/data/img_animal/アカメアマガエル.jpg	/data/sound_baby_animal/カエル.mp3
102	オオサンショウウオ	/data/img_animal/オオサンショウウオ.jpg	/data/sound_baby_animal/オオサンショウウオ.mp3
103	サラマンダー	/data/img_animal/ファイアサラマンダー.jpg	/data/sound_baby_animal/サラマンダー.mp3
